Date Moment Magnitude Latitude Longitude Depth Vp Vs Mu Vr T1 T2 Length Width StressDrop RadE tau_a
199510091535 641 1.236073e+21   8.0614  19.1500 -104.2200  15.0000   6.2421   3.5911  34.8432   3.2319  15.5156  15.5156 100.2914  54.3938  13.0288 6.765078e+16   1.9070
199510291855 646 5.778117e+17   5.8412   0.8300 125.9900  40.4384   7.4202   4.1086  52.7156   3.6978   4.1395   4.1395  30.6137  24.6595   0.1006 1.014986e+11   0.0093
199512031801 655 8.653637e+20   7.9581  44.6200 149.3200  18.1101   7.1263   4.0619  50.4450   3.6557  19.1150  17.8309 139.7567  67.8612   4.1852 1.164053e+16   0.6786
199512070512 656 8.087275e+17   5.9385  44.4400 149.1000  20.1515   7.1748   4.0837  51.2185   3.6753   7.2203   7.2203  53.0741  35.5873   0.0370 3.379683e+10   0.0021
199512071930 658 9.760856e+17   5.9930  44.9200 149.3700  35.0051   7.5271   4.2426  57.0850   3.8184   8.2977   7.7403  63.3670  40.0512   0.0291 4.026274e+10   0.0024
199601010805 666 7.914512e+20   7.9323   0.7200 119.9800  21.5051   6.8322   3.8938  44.8886   3.5044  25.2452   6.2828 176.9379  79.4183   2.2050 9.882686e+15   0.5605
199601312030 671 1.281579e+18   6.0718  44.4600 149.3700  20.3727   7.1800   4.0861  51.3027   3.6775   3.1343   0.5906  23.0525  20.4104   0.4465 8.462051e+12   0.3387
199602070757 674 1.323998e+18   6.0813   0.9700 120.2300  28.4000   6.8020   3.8878  43.6906   3.4990   3.1343   0.8964  21.9336  19.7445   0.5210 7.330639e+12   0.2419
199602170559 677 2.607448e+21   8.2775  -0.9500 137.0300  15.0000   7.1531   4.0731  50.8390   3.6658  94.6247   1.7969 693.7528 197.4740   0.3065 2.193082e+16   0.4276
199603031637 685 1.356684e+19   6.7550  11.9000 -86.7700  25.6162   6.6737   3.8068  40.9284   3.4262   7.7403   2.0651  53.0387  35.5715   0.6216 6.484222e+13   0.1956
199603051452 686 3.814713e+18   6.3876  24.0900 122.2100  25.2929   7.1114   4.0546  50.1780   3.6491   2.7273   1.4586  19.9046  18.5072   1.9050 3.307831e+13   0.4351
199603091615 688 1.631823e+18   6.1418  43.4200 148.0100  20.0000   7.2125   4.1007  51.8457   3.6907   5.0997   0.4794  37.6429  28.3028   0.1718 4.836311e+12   0.1537
