Fault index 1 = needles segment
Fault index 2-5 = Kekerengu, Jordan Thrust, Upper Kowhai segments
Fault index 6-7 = Hope segments
Fault index 8-16 = Humps/Hunderlee segments
Fault index 17-18 = London Hills
Fault index 19 = Fidget
Fault index 20 = interface
longditude (centre of patch), latitude (centre of patch), strike, dip, rake, slip (m), length (km), top of patch (km), bottom of patch (km) index	
174.0252 -41.9564 247.619867 70.000000 175.806052 14.615045 1.935520 2.777778 5.555556	   2.0000000e+00
174.0210 -41.9479 247.619867 70.000000 174.968274 19.501992 1.935520 5.555556 8.333333	   2.0000000e+00
174.0167 -41.9394 247.619867 70.000000 172.972624 20.118661 1.935520 8.333333 11.111111	   2.0000000e+00
174.0125 -41.9308 247.619867 70.000000 169.707220 17.340489 1.935520 11.111111 13.888889	   2.0000000e+00
174.0082 -41.9223 247.619867 70.000000 164.676855 12.800472 1.935520 13.888889 16.666667	   2.0000000e+00
174.0040 -41.9138 247.619867 70.000000 156.879226 8.094731 1.935520 16.666667 19.444444	   2.0000000e+00
173.9997 -41.9052 247.619867 70.000000 145.077052 4.325125 1.935520 19.444444 22.222222	   2.0000000e+00
173.9955 -41.8967 247.619867 70.000000 130.475767 1.793326 1.935520 22.222222 25.000000	   2.0000000e+00
174.0076 -41.9710 247.619867 70.000000 180.000000 6.820311 1.935520 0.000000 2.777778	   2.0000000e+00
174.0033 -41.9625 247.619867 70.000000 178.081598 15.993196 1.935520 2.777778 5.555556	   2.0000000e+00
173.9991 -41.9539 247.619867 70.000000 176.409429 21.598092 1.935520 5.555556 8.333333	   2.0000000e+00
173.9948 -41.9454 247.619867 70.000000 173.894978 22.519805 1.935520 8.333333 11.111111	   2.0000000e+00
173.9906 -41.9369 247.619867 70.000000 170.389114 19.747661 1.935520 11.111111 13.888889	   2.0000000e+00
173.9864 -41.9284 247.619867 70.000000 165.522164 14.988311 1.935520 13.888889 16.666667	   2.0000000e+00
173.9821 -41.9198 247.619867 70.000000 158.646614 9.876247 1.935520 16.666667 19.444444	   2.0000000e+00
